권역,시군,읍면동,주용도,용도지역,건물유형,건축년도,규모,건폐율(%),거래유형,매도자,매수자,대지(평),연면적(평),거래금액(만원),대지평단가(만원),연면적평단가(만원),거래월,신규
남부,수원시,신동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,개인,법인,0,31.8,21500,0,676.3,2025-10,
남부,수원시,원천동,공장,일반공업,집합,2022,소형(~500평),0,직거래,개인,개인,0,16.7,19728,0,1177.8,2025-11,
남부,수원시,원천동,공장,일반공업,집합,2023,소형(~500평),0,직거래,개인,개인,0,34.9,40000,0,1144.9,2025-11,
남부,수원시,이의동,공장,준주거,집합,2018,소형(~500평),0,중개거래,개인,법인,0,27.9,57440,0,2058.6,2025-11,
남부,수원시,원천동,공장,일반공업,집합,2024,소형(~500평),0,중개거래,개인,개인,0,11.9,19000,0,1602.3,2025-12,
남부,수원시,신동,공장,일반공업,집합,2021,소형(~500평),0,직거래,기타,개인,0,28.8,25585,0,887.6,2025-12,
남부,수원시,신동,공장,일반공업,집합,2021,소형(~500평),0,직거래,기타,개인,0,16.2,14365,0,887.6,2025-12,
남부,수원시,신동,공장,일반공업,집합,2021,소형(~500평),0,직거래,기타,개인,0,21.0,16912,0,804.3,2025-12,
남부,수원시,신동,공장,일반공업,집합,2021,소형(~500평),0,직거래,기타,개인,0,40.4,32463,0,804.3,2025-12,
남부,수원시,원천동,공장,일반공업,집합,2009,소형(~500평),0,직거래,개인,기타,0,85.0,67700,0,796.8,2025-12,
남부,수원시,신동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,개인,법인,0,43.1,42500,0,985.3,2025-12,
남부,수원시,신동,공장,일반공업,집합,2008,소형(~500평),0,직거래,개인,기타,0,41.3,41000,0,991.6,2025-12,
남부,수원시,신동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,개인,법인,0,42.8,42000,0,980.9,2025-12,
남부,수원시,원천동,공장,일반공업,집합,2022,소형(~500평),0,직거래,기타,기타,0,17.7,24000,0,1353.9,2025-12,
남부,수원시,원천동,공장,일반공업,집합,2022,소형(~500평),0,중개거래,개인,법인,0,17.7,25000,0,1410.3,2026-01,
남부,수원시,이의동,공장,준주거,집합,2018,소형(~500평),0,중개거래,개인,법인,0,24.9,40000,0,1608.7,2026-01,
남부,수원시,이의동,공장,준주거,집합,2018,소형(~500평),0,중개거래,개인,법인,0,23.5,38500,0,1640.1,2026-01,
남부,수원시,이의동,공장,준주거,집합,2018,소형(~500평),0,중개거래,법인,법인,0,24.9,42000,0,1685.0,2026-01,
남부,수원시,원천동,공장,일반공업,집합,2022,소형(~500평),0,중개거래,개인,법인,0,40.0,55000,0,1376.5,2026-01,
남부,수원시,원천동,공장,일반공업,집합,2022,소형(~500평),0,중개거래,개인,법인,0,15.2,21150,0,1389.7,2026-01,
남부,수원시,영통동,공장,준주거,집합,2006,소형(~500평),0,중개거래,법인,개인,0,52.9,60000,0,1135.2,2026-01,
